PAUSED	暂停	menu_paused
Continue	继续	menu_continue
Options	选项	menu_options
Stats	选项	menu_stats
Progress	进展	menu_progress
Release Notes	发行说明	menu_releasenotes
Credits	制作组	menu_credits
New Game	新游戏	menu_newgame
Daily Run	每日挑战	menu_dailyrun
Save & Quit	保存并退出	menu_saveandquit
Return	返回	menu_return
Apply & Return	应用并返回	menu_applyandreturn
Cancel	取消	menu_cancel
Yes	是	menu_yes
No	否	menu_no
Ok	确定	menu_ok
High	高	menu_high
Medium	中	menu_medium
Low	低	menu_low
On	开	option_on
Off	关	option_off
Adaptive	自适应	option_adaptive
Are you sure you want to start a new game? All progress from current run will be lost.	确定要开始新的游戏吗？当前游戏的进展将会丢失。	menu_newgame_areyousure
Window mode: $0	窗口模式：$0	menuoptions_windowmode
Windowed	窗口化	windowmode_windowed
Fullscreen (windowed)	全屏（窗口）	windowmode_fullscreen
Fullscreen (real)	全屏（完全）	windowmode_fullscreen_real
Resolution: $0	分辨率：$0	menuoptions_resolution
 - WARNING: Might be illegible!	- 警告：画面可能难以辨识！	menuoptions_resolution_illegible
Use current display's resolution	使用当前显示分辨率	menuoptions_matchresolution
Apply display settings	应用显示设置	menuoptions_applydisplay
Rendering quality	渲染质量	menuoptions_renderingquality
Low quality rendering: $0	低质量渲染：$0	menuoptions_lowqualityrendering
Vsync: $0	垂直同步：$0	menuoptions_vsync
Do you want to keep the new display settings? Old settings will be restored in $0 seconds.	要保留新的显示设置吗？$0 秒后将还原旧设置。	menuoptions_display_areyousure
Reset all progress	重置所有进展	menuoptions_resetsave
Are you sure you want to reset all progress? This cannot be undone!	确定要重置所有进展吗？此操作无法撤销！	menuoptions_resetsave_areyousure
New Game	新游戏	menugameover_newgame
Save death replay	保存死亡回放	menugameover_savereplay
Quit	退出	menugameover_quit
COMPLETED THE GAME!	游戏完成！	menugameover_gamecompleted
You are dead - click here for stats	你死掉了 - 点击此处查看统计	menugameover_nextbutton
RECORDS	记录	menugameover_records
Pixel art anti-aliasing: $0	像素抗锯齿：$0	menuoptions_pixelart_aa
Low resolution rendering: $0	低分辨率渲染：$0	menuoptions_lowres
EXPERIMENTAL. Might cause minor rendering glitches.	试验性功能。可能导致少量渲染错误。	menuoptions_lowres_tooltip_exp
Improves rendering performance, but might cause minor rendering glitches.	提升渲染表现，但可能导致少量渲染错误。	menuoptions_lowres_tooltip
Brightness	亮度	menuoptions_brightness
Contrast	对比度	menuoptions_contrast
Gamma	伽马校正	menuoptions_gamma
Right click to reset to default.	右键单击以重置为默认值。	menuoptions_reset_keyboard
Press B to reset to default.	按 B 键重置为默认值。	menuoptions_reset_gamepad
Music volume	音乐音量	menuoptions_musicvolume
Sound effect volume	音效音量	menuoptions_soundsvolume
Configure controls	按键设置	menuoptions_configurecontrols
Reset all to default	全部重置为默认值	menuoptions_configurecontrols_reset_all
Press the key or button for $0	按下用于“$0”的键或按钮	menuoptions_configurecontrols_rebind_keyboard
Press the button for $0	按下用于“$0”的按钮	menuoptions_configurecontrols_rebind_gamepad
Gamepad: $0	游戏手柄：$0	menuoptions_controls
Mouse sensitivity	鼠标灵敏度	menuoptions_mousesensitivity
Mouse + Keyboard	鼠标 + 键盘	menuoptions_controls_keyboard
Auto-detect	自动检测	menuoptions_controls_autodetectgamepad
Gamepad rumble intensity	游戏手柄振动强度	menuoptions_gamepad_rumble
Click on icon switches item: $0	点击图标切换物品：$0	menuoptions_ui_inventory_icons_always_clickable
Game renders the cursor: $0	游戏渲染光标：$0	menuoptions_application_rendered_cursor
Screen shake intensity	画面振动强度	menuoptions_screenshake_intensity
Damage numbers: $0	伤害数值：$0	menuoptions_damagenumbers
Replay recorder: $0	回放录像机：$0	menuoptions_replayrecorder
Check for updates: $0	检查更新：$0	menuoptions_checkforupdates
Language: English	语言 (Language)：简体中文(伟大之作.汉化)	menuoptions_language
NEW UPDATE AVAILABLE	有新的更新	menuupdatenotification_title
A new build of Noita is now available!\nClick here for release notes	新版本《Noita》现已上线！\n单击此处查看发行说明	menuupdatenotification_description_generic
No release notes available	没有可用的更新说明	menureleasenotes_notavailable
Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.	欢迎来到《Noita》！\n《Noita》目前处于抢先体验阶段。\n游戏可能包含错误，甚至会崩溃！\n我们正努力对这些问题进行修复，同时为游戏追加新的内容。	menureleasenotes_eawarning
up	向上	controls_up
down	向下	controls_down
left	向左	controls_left
right	向右	controls_right
spray from potion	喷洒烧瓶	controls_sprayflask
throw	投掷	controls_throw
kick	踢击	controls_kick
open/close inventory	开启/关闭物品栏	controls_inventory
next item	下个物品	controls_itemnext
previous item	上个物品	controls_itemprev
select item in slot 1	选择 1 号槽物品	controls_itemslot1
select item in slot 2	选择 2 号槽物品	controls_itemslot2
select item in slot 3	选择 3 号槽物品	controls_itemslot3
select item in slot 4	选择 4 号槽物品	controls_itemslot4
select item in slot 5	选择 5 号槽物品	controls_itemslot5
select item in slot 6	选择 6 号槽物品	controls_itemslot6
select item in slot 7	选择 7 号槽物品	controls_itemslot7
select item in slot 8	选择 8 号槽物品	controls_itemslot8
